Unix_Test_Start_Time,Local_Test_Start_Time,Unix_Test_End_Time,Local_Test_End_Time,Verse_ID,Verse_Code,Verse,Characters,WPM,Test_Seconds,Error_Rate,Error_and_Backspace_Rate,Marathon_Mode,Player,Tag_1,Tag_2,Tag_3
1751853954,2025-07-06T22:05:54-0400,1751853972,2025-07-06T22:06:12-0400,35000,Hebrews_13:22,"And I beg you, brothers, that you may permit this word of consolation, especially since I have written to you with few words.",125,83.005288,18.071138,0.032000,0.064000,0,Alliecat,1,1,1
1751853972,2025-07-06T22:06:12-0400,1751854007,2025-07-06T22:06:47-0400,35001,Hebrews_13:23,"Know that our brother Timothy has been set free. If he arrives soon, then I will see you with him.",98,32.975491,35.662850,0.234694,0.602041,0,Alliecat,1,2,2
1751854007,2025-07-06T22:06:47-0400,1751854022,2025-07-06T22:07:02-0400,35002,Hebrews_13:24,Greet all your leaders and all the saints. The brothers from Italy greet you.,77,63.254496,14.607657,0.077922,0.155844,0,Alliecat,1,3,3
1751854044,2025-07-06T22:07:24-0400,1751854049,2025-07-06T22:07:29-0400,35003,Hebrews_13:25,Grace be with you all. Amen.,28,61.654022,5.449766,0.214286,0.428571,0,Alliecat,1,4,4
1751854049,2025-07-06T22:07:29-0400,1751854066,2025-07-06T22:07:46-0400,35004,James_1:1,"James, servant of God and of our Lord Jesus Christ, to the twelve tribes of the dispersion, greetings.",102,72.645656,16.848908,0.019608,0.058824,0,Alliecat,1,5,5
1751854105,2025-07-06T22:08:25-0400,1751854118,2025-07-06T22:08:38-0400,35000,Hebrews_13:22,"And I beg you, brothers, that you may permit this word of consolation, especially since I have written to you with few words.",125,118.610327,12.646454,0.072000,0.144000,0,Kendog,1,1,6
1751854156,2025-07-06T22:09:16-0400,1751854163,2025-07-06T22:09:23-0400,35001,Hebrews_13:23,"Know that our brother Timothy has been set free. If he arrives soon, then I will see you with him.",98,161.131327,7.298395,0.000000,0.000000,0,Kendog,1,2,7
1751854170,2025-07-06T22:09:30-0400,1751854179,2025-07-06T22:09:39-0400,35002,Hebrews_13:24,Greet all your leaders and all the saints. The brothers from Italy greet you.,77,102.389285,9.024382,0.142857,0.285714,0,Kendog,1,3,8
1751854182,2025-07-06T22:09:42-0400,1751854186,2025-07-06T22:09:46-0400,35003,Hebrews_13:25,Grace be with you all. Amen.,28,89.948145,3.735486,0.142857,0.285714,0,Kendog,1,4,9
1751854192,2025-07-06T22:09:52-0400,1751854205,2025-07-06T22:10:05-0400,35004,James_1:1,"James, servant of God and of our Lord Jesus Christ, to the twelve tribes of the dispersion, greetings.",102,95.630873,12.799214,0.127451,0.264706,0,Kendog,1,5,10
1751854235,2025-07-06T22:10:35-0400,1751854245,2025-07-06T22:10:45-0400,35005,James_1:2,"My brothers, when you have fallen into various trials, consider everything a joy,",81,97.214712,9.998487,0.024691,0.049383,0,Alliecat,2,1,11
1751854245,2025-07-06T22:10:45-0400,1751854253,2025-07-06T22:10:53-0400,35006,James_1:3,"knowing that the proving of your faith exercises patience,",58,79.377818,8.768193,0.017241,0.034483,0,Alliecat,2,2,12
1751854304,2025-07-06T22:11:44-0400,1751854316,2025-07-06T22:11:56-0400,35007,James_1:4,"and patience brings a work to perfection, so that you may be perfect and whole, deficient in nothing.",101,106.518882,11.378264,0.000000,0.000000,0,Alliecat,2,3,13
1751854367,2025-07-06T22:12:47-0400,1751854389,2025-07-06T22:13:09-0400,35008,James_1:5,"But if anyone among you is in need of wisdom, let him petition God, who gives abundantly to all without reproach, and it shall be given to him.",143,79.534272,21.575604,0.076923,0.153846,0,Alliecat,2,4,14
1751854396,2025-07-06T22:13:16-0400,1751854412,2025-07-06T22:13:32-0400,35009,James_1:6,"But he should ask with faith, doubting nothing. For he who doubts is like a wave on the ocean, which is moved about by the wind and carried away;",145,105.897895,16.430921,0.034483,0.068966,0,Alliecat,2,5,15
1751854452,2025-07-06T22:14:12-0400,1751854463,2025-07-06T22:14:23-0400,35005,James_1:2,"My brothers, when you have fallen into various trials, consider everything a joy,",81,89.551398,10.854102,0.197531,0.395062,0,Kendog,2,1,16
1751854466,2025-07-06T22:14:26-0400,1751854472,2025-07-06T22:14:32-0400,35006,James_1:3,"knowing that the proving of your faith exercises patience,",58,104.831639,6.639217,0.172414,0.344828,0,Kendog,2,2,17
1751854473,2025-07-06T22:14:33-0400,1751854480,2025-07-06T22:14:40-0400,35007,James_1:4,"and patience brings a work to perfection, so that you may be perfect and whole, deficient in nothing.",101,174.177995,6.958399,0.000000,0.000000,0,Kendog,2,3,18
1751854497,2025-07-06T22:14:57-0400,1751854511,2025-07-06T22:15:11-0400,35008,James_1:5,"But if anyone among you is in need of wisdom, let him petition God, who gives abundantly to all without reproach, and it shall be given to him.",143,123.283744,13.919110,0.034965,0.069930,0,Kendog,2,4,19
1751854513,2025-07-06T22:15:13-0400,1751854528,2025-07-06T22:15:28-0400,35009,James_1:6,"But he should ask with faith, doubting nothing. For he who doubts is like a wave on the ocean, which is moved about by the wind and carried away;",145,119.573848,14.551677,0.048276,0.096552,0,Kendog,2,5,20
1751854706,2025-07-06T22:18:26-0400,1751854715,2025-07-06T22:18:35-0400,35010,James_1:7,then a man should not consider that he would receive anything from the Lord.,76,99.589534,9.157589,0.052632,0.105263,0,Alliecat,3,1,21
1751854725,2025-07-06T22:18:45-0400,1751854733,2025-07-06T22:18:53-0400,35011,James_1:8,For a man who is of two minds is inconstant in all his ways.,60,93.844402,7.672274,0.050000,0.100000,0,Alliecat,3,2,22
1751854740,2025-07-06T22:19:00-0400,1751854746,2025-07-06T22:19:06-0400,35012,James_1:9,"Now a humble brother should glory in his exaltation,",52,106.281345,5.871209,0.000000,0.000000,0,Alliecat,3,3,23
1751854756,2025-07-06T22:19:16-0400,1751854768,2025-07-06T22:19:28-0400,35013,James_1:10,"and a rich one, in his humiliation, for he will pass away like the flower of the grass.",87,86.484710,12.071498,0.034483,0.080460,0,Alliecat,3,4,24
1751854778,2025-07-06T22:19:38-0400,1751854804,2025-07-06T22:20:04-0400,35014,James_1:11,"For the sun has risen with a scorching heat, and has dried the grass, and its flower has fallen off, and the appearance of its beauty has perished. So also will the rich one wither away, according to his paths.",210,98.687836,25.535062,0.023810,0.047619,0,Alliecat,3,5,25
1751854842,2025-07-06T22:20:42-0400,1751854848,2025-07-06T22:20:48-0400,35010,James_1:7,then a man should not consider that he would receive anything from the Lord.,76,151.248082,6.029829,0.118421,0.131579,0,Kendog,3,1,26
1751854868,2025-07-06T22:21:08-0400,1751854877,2025-07-06T22:21:17-0400,35011,James_1:8,For a man who is of two minds is inconstant in all his ways.,60,78.606409,9.159558,0.250000,0.466667,0,Kendog,3,2,27
1751854882,2025-07-06T22:21:22-0400,1751854886,2025-07-06T22:21:26-0400,35012,James_1:9,"Now a humble brother should glory in his exaltation,",52,160.788564,3.880873,0.000000,0.000000,0,Kendog,3,3,28
1751854908,2025-07-06T22:21:48-0400,1751854918,2025-07-06T22:21:58-0400,35013,James_1:10,"and a rich one, in his humiliation, for he will pass away like the flower of the grass.",87,99.774148,10.463632,0.183908,0.321839,0,Kendog,3,4,29
1751854922,2025-07-06T22:22:02-0400,1751854946,2025-07-06T22:22:26-0400,35014,James_1:11,"For the sun has risen with a scorching heat, and has dried the grass, and its flower has fallen off, and the appearance of its beauty has perished. So also will the rich one wither away, according to his paths.",210,108.107477,23.310136,0.133333,0.233333,0,Kendog,3,5,30
1751854983,2025-07-06T22:23:03-0400,1751855003,2025-07-06T22:23:23-0400,35015,James_1:12,"Blessed is the man who suffers temptation. For when he has been proven, he shall receive the crown of life which God has promised to those who love him.",152,92.653228,19.686308,0.065789,0.131579,0,Alliecat,4,1,31
1751855003,2025-07-06T22:23:23-0400,1751855023,2025-07-06T22:23:43-0400,35016,James_1:13,"No one should say, when he is tempted, that he was tempted by God. For God does not entice toward evils, and he himself tempts no one.",134,80.339666,20.015020,0.014925,0.029851,0,Alliecat,4,2,32
1751855031,2025-07-06T22:23:51-0400,1751855040,2025-07-06T22:24:00-0400,35017,James_1:14,"Yet truly, each one is tempted by his own desires, having been enticed and drawn away.",86,108.959206,9.471435,0.000000,0.000000,0,Alliecat,4,3,33
1751855056,2025-07-06T22:24:16-0400,1751855071,2025-07-06T22:24:31-0400,35018,James_1:15,"Thereafter, when desire has conceived, it gives birth to sin. Yet truly sin, when it has been consummated, produces death.",122,93.751010,15.615832,0.040984,0.081967,0,Alliecat,4,4,34
1751855076,2025-07-06T22:24:36-0400,1751855085,2025-07-06T22:24:45-0400,35019,James_1:16,"And so, do not choose to go astray, my most beloved brothers.",61,81.917505,8.935819,0.065574,0.131148,0,Alliecat,4,5,35
1751855137,2025-07-06T22:25:37-0400,1751855152,2025-07-06T22:25:52-0400,35015,James_1:12,"Blessed is the man who suffers temptation. For when he has been proven, he shall receive the crown of life which God has promised to those who love him.",152,125.030289,14.588465,0.065789,0.131579,0,Kendog,4,1,36
1751855154,2025-07-06T22:25:54-0400,1751855166,2025-07-06T22:26:06-0400,35016,James_1:13,"No one should say, when he is tempted, that he was tempted by God. For God does not entice toward evils, and he himself tempts no one.",134,136.752611,11.758459,0.037313,0.074627,0,Kendog,4,2,37
1751855166,2025-07-06T22:26:06-0400,1751855175,2025-07-06T22:26:15-0400,35017,James_1:14,"Yet truly, each one is tempted by his own desires, having been enticed and drawn away.",86,128.508275,8.030611,0.069767,0.093023,0,Kendog,4,3,38
1751855177,2025-07-06T22:26:17-0400,1751855188,2025-07-06T22:26:28-0400,35018,James_1:15,"Thereafter, when desire has conceived, it gives birth to sin. Yet truly sin, when it has been consummated, produces death.",122,129.246581,11.327185,0.032787,0.065574,0,Kendog,4,4,39
1751855189,2025-07-06T22:26:29-0400,1751855195,2025-07-06T22:26:35-0400,35019,James_1:16,"And so, do not choose to go astray, my most beloved brothers.",61,124.189468,5.894220,0.049180,0.098361,0,Kendog,4,5,40
